code_activity,name_activity,ar_name_activity
72324,Artiste Plasticien,فنان تشكيلي
72323,Artiste Sculpteur,فنان نحات
72322,Artiste Céramiste,فنان خزفي
72321,Artiste Graphiste,فنان جرافيك
72320,Artiste Infographiste,فنان إنفوغرافي
72319,Artiste Styliste,فنان نقاش
72318,Artiste Miniaturiste,فنان مصغر
72317,Artiste Enlumineur,فنان اضاءة
72316,Artiste Designeur,فنان مصمم
72315,Artiste Vireur,فنان زجاجي
72314,Artiste Calligraphe,فنان خطاط
72313,Animateur de Galerie d’ART,منشط معرض فني
72312,Chef de Galerie,مسؤول معرض
72311,Artiste Scénographe,فنان سينوغراف
72310,Artiste de Bande Dessinée,فنان القصص المصورة
72309,Artiste Galeriste,فنان معرضي
72308,Expert en arts,خبير فنون
72307,Artiste de décoration intérieure,فنان ديكور داخلي
72306,Artiste Styliste,فنان مصمم أزياء
72305,Artiste Modéliste,فنان موضة
72304,Artiste Photographe,فنان مصور
72303,Artiste Dessinateur,فنان رسام
72302,Réparateur d’instruments musicaux,مصلح آلات موسيقية
72301,Restaurateur d’œuvres artistiques,مرمم التحف الفنية
72208,Infographe,مصمم الانفوغراف
72207,Graveur hélio,طباعة روتوغرافية 
72206,Flasheur,مساعد المصمم الضوئي في الطباعة
72205,Développeur (film plaque et autre),مطور طباعة (أفلام وصفائح وغيرها)
72204,Copiste,ناسخ في الطباعة
72203,Compositeur en Publication Assistée par Ordinateur-PAO,ملحن في النشر بمساعدة الكمبيوتر (PAO)
72202,Claviste en Publication Assistée par Ordinateur-PAO,محرر نصوص في النشر بمساعدة الكمبيوتر (PAO)
72201,Aide photograveur,مساعد محور الحفر الضوئي
72109,Photographe scolaire,مصور مدرسي
72108,Photographe itinérant,مصور متنقل
72107,Photographe événementiel,مصور التظاهرات
72106,Photographe de sport,مصور رياضي
72105,Photographe de reportage,مصور ربورتاجات
72104,Photographe,مصور
72103,Opérateur de laboratoire photographique,مشغل مخبر الصور
72102,Développeur de photographies,مطور الصور
72101,Assistant photographe,مساعد مصور
72003,Technicien opérateur de projection cinéma,تقني مشغل في العرض السينمائي
72002,Projectionniste,عارض أفلام
72001,Opérateur projectionniste cinéma,مشغل/ عارض الأفلام السينمائية
71910,Artiste en effets visuels,فنان مؤثرات بصرية
71909,Styliste culinaire,مصمم طعام
71906,Infographiste multimédia,مصمم الرسومات بالحاسوب (إنفوغرافيك) وسائل الإعلام
71905,Illustrateur multimédia,رسام القصص المصورة
71904,Designer en contenu multimédia,مصمم في محتوى وسائل الإعلام
71903,Animateur 3D,أنفوغرافي ثلاثي الأبعاد
71902,Animateur 2D,أنفوغرافي ثنائي الأبعاد
71901,Affichiste illustrateur,رسام الرسومات التوضيحية في وسائل الإعلام
71810,Superviseur monteur postproduction,مشرف مركب ما بعد الإنتاج
71809,Opérateur PADPrêt A Diffuser,منسق المحتويات السمعية البصرية الجاهزة
71808,Monteur vidéo,مركب الفيديو
71807,Monteur sous titres,مركب حاشية العنونة
