code_pro,wilaya,field,activity,description,processed_activity,processed_description,fuzzy_matched_official
P6B3R8CC,Algiers,,Technicien de Maintenance du matériel Prépresse CTP,"Le service Prépresse est équipé des machines CTP (Computer To Plate) et ça nécessite un technicien pour l'installation, la mise en marche, la formation et la maintenance.",technicien maintenance materiel prepress ctp,service prepress equipe machine ctp computer to plate ca necessite technicien linstallation mettre marche formation maintenanc,
TLLSNCC9,Algiers,Services à la personne,Dessinateur projeteur en travaux publics et suivi technique,"dessinateur projeteur en travaux publics (bâtiment, château d'eau, stades..ex) En plus de tout ce qui concerne le béton armé._x000D_
Suivi technique des travaux de construction sur chantier conformes aux normes de l'étude",dessinateur projeteur traval public suivre technique,dessinateur projeteur traval public batimer chateau deau stadesex plus tout concerner beton arme_xd _ suivi technique traval construction chantier conforme norme letude,
U6HRYAKP,Oran,Services à la personne,Btp,Tout type de revêtement..peinture,btp,tout type revetementpeinture,
HGULM2HM,Algiers,Services à la personne,Menuiserie,"Fabrication de meubles modernes_x000D_
Mentage et démontage tout type de meubles_x000D_
Vernisseure",menuiserie,fabrication meuble modernes_xd _ mentage demontage tout type meubles_xd _ vernisseure,
93ND4KRW,Algiers,Services à la personne,Dortoirs,Dortoirs,dortoir,dortoir,
VRFQPXK8,Skikda,"Conseil, Expertise et formation",Cours D’anglais en ligne,"Donner des cours d’anglais pour adultes et enfants en ligne _x000D_
Préparation des tests Internationaux _x000D_
Entretien d’embauche.. etc",cours danglai ligne,donner cours danglai adulte enfant ligne _ xd _ preparation test international _ xd _ entretien dembauche etc,
2PG6LNSA,Annaba,Services aux entreprises,Maçon,Maçonnerie générale,macon,maconnerie general,
19PR1AXH,Algiers,"Conseil, Expertise et formation",Expert en développement des compétences,Proposer aux professionnels un un plan de développement des compétences métiers,expert developpement competence,proposer professionnel plan developpement competence metier,
86GR8TW8,Bouira,Services de loisirs et de récréation,Crochet,Je fais des vêtements en crochet et des accessoires.,crochet,fai vetement crochet accessoire,
L217R3WF,Blida,Services à la personne,Réparation airbags,"Réparation airbags du tableau de bord, volant, sièges , toit",reparation airbag,reparation airbag tableau bord voler siege toit,
